ICAO, Registration, Model, Aircraft Type
39d2a3,F-HUVD,A359,L2J
c038cc,C-FVNF,B789,L2J
c023bd,C-FNNW,B77W,L2J
3949e4,F-GSPE,B772,L2J
c01a7d,C-FKAU,B77W,L2J
aa931d,N78013,B772,L2J
c07995,C-GUBC,A332,L2J
394a0d,F-GSQN,B77W,L2J
c02eca,C-FRSR,B789,L2J
39cf11,F-HTYR,A359,L2J
485e2d,PH-BKG,B78X,L2J
c05f94,C-GKFB,A321,L2J
a75103,N57016,B772,L2J
c0884e,C-GZQB,E295,No
c04fdd,C-GEGI,A333,L2J
406d7b,G-ZBKE,B789,L2J
c03cf4,C-FXCD,A320,L2J
39cf06,F-HTYG,A359,L2J
c02f21,C-FRWA,B738,L2J
c080ae,C-GWSZ,B738,L2J
a999d2,N718AN,B77W,L2J
aa92ff,N78008,B772,L2J
4007f9,G-YMMN,B772,L2J
4d23e8,9H-ETA,B38M,L2J
c05f0a,C-GJZT,CRJ9,L2J
aa4440,N76021,B772,L2J
c051d0,C-GEZN,A321,L2J
4bb181,TC-LLA,B789,L2J
406f7c,G-ZBKP,B789,L2J
86831e,JA742J,B77W,L2J
40779a,G-XWBD,A35K,L2J
407dbf,G-DHLW,B77L,L2J
aba7d9,N850FD,B77L,L2J
34718d,EC-NRG,A332,L2J
3c4ec7,D-ACVG,A333,L2J
a9a750,N721AN,B77W,L2J
3c70c5,D-ALFE,B77L,L2J
a8397c,N629UP,B748,L4J
ae49c2,09-9206,C17,L4J
c04aca,C-GCIJ,B763,L2J
acf906,N935JB,A321,L2J
c0797b,C-GUAC,BCS3,L2J
c030eb,C-FSNQ,B38M,L2J
a6aaba,N529DT,A21N,L2J
c0267c,C-FOOX,ASTR,L2J
c01e1f,C-FLKO,B38M,L2J
c041b9,C-FYXC,B38M,L2J
c060bf,C-GKQO,E295,No
aa7f02,N77572,B39M,L2J
c01b74,C-FKKH,B350,L2T
c06e87,C-GPWG,A320,L2J
c02267,C-FNAS,C25B,L2J
c02e92,C-FRQN,E75S,No
c0613e,C-GKVL,B738,L2J
a67452,N515DE,A21N,L2J
500264,T7-MPS,PC24,No
aca5a4,N914BD,GLF6,No
c01624,C-FIJZ,CRJ9,L2J
c08509,C-GYJW,B789,L2J
a21a33,N2343X,C208,L1T
aa5a0e,N766YX,E75L,No
c060b2,C-GKQB,DH8D,L2T
c01970,C-FJQL,A321,L2J
a12f2a,N17574,B39M,L2J
c047e9,C-GBGA,C182,L1P
c05f23,C-GKAS,C310,L2P
c00dce,C-FFFX,B38M,L2J
c04db0,C-GDKX,C172,L1P
c01b6c,C-FKJZ,CRJ9,L2J
c01968,C-FJQD,A321,L2J
c029c8,C-FPVJ,DH8D,L2T
c053c0,C-GFSP,C172,L1P
c04d3f,C-GDGO,CL30,L2J
3c0f75,D-AUWE,GLEX,L2J
c01dac,C-FLGD,B38M,L2J
7608f9,AP-BGY,B77L,L2J
c0107a,C-FGGF,CL30,L2J
a6709b,N514DE,A21N,L2J
c08861,C-GZQU,E295,No
a12fda,N176DZ,B763,L2J
06a1e8,A7-BFK,B77L,L2J
c065ed,C-GMPO,PC12,L1T
c05ce8,C-GJET,C560,L2J
c008f0,C-FDJZ,CRJ9,L2J
c0596b,C-GHWK,C172,L1P
c074ad,C-GSEU,C172,L1P
ab4489,N825MH,B764,L2J
